day,platform,content,utm_source,utm_medium,utm_campaign,destination_url,click_note
11,tiktok,d11_dry_run,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d11_dry_run,"Profile website link; caption must not promise a clickable URL"
11,facebook,d11_dry_run,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d11_dry_run,"Direct click destination"
12,youtube,d12_questions,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d12_questions,"Profile website link; caption must not promise a clickable URL"
12,tiktok,d12_questions,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d12_questions,"Profile website link; caption must not promise a clickable URL"
12,facebook,d12_questions,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d12_questions,"Direct click destination"
13,youtube,d13_maintenance,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d13_maintenance,"Profile website link; caption must not promise a clickable URL"
13,tiktok,d13_maintenance,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d13_maintenance,"Profile website link; caption must not promise a clickable URL"
13,facebook,d13_maintenance,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d13_maintenance,"Direct click destination"
14,youtube,d14_review,youtube,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=youtube&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d14_review,"Profile website link; caption must not promise a clickable URL"
14,tiktok,d14_review,tiktok,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=tiktok&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d14_review,"Profile website link; caption must not promise a clickable URL"
14,facebook,d14_review,facebook,organic_social,crypto_inheritance_14d,https://sentinelenterprisesllc.com/downloads?utm_source=facebook&utm_medium=organic_social&utm_campaign=crypto_inheritance_14d&utm_content=d14_review,"Direct click destination"
